"","contig_id","contig_length","genome_copies","gene_count","viral_genes","host_genes","checkv_quality","miuvig_quality","completeness","completeness_method","contamination","provirus","termini","warnings","Annotation","Annotation_lineage"
"776","NODE_549_length_1406_cov_5_509406_S005-101",1406,1,3,1,0,"Low-quality","Genome-fragment",3.7,"AAI-based",0,"No","","","Streptococcus phage IPP5","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"777","NODE_617_length_1339_cov_4_143423_S005-101",1339,1,5,1,0,"Low-quality","Genome-fragment",3.12,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"778","NODE_627_length_1333_cov_5_155255_S005-101",1333,1,3,1,0,"Low-quality","Genome-fragment",3.18,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"779","NODE_633_length_1327_cov_5_792000_S005-101",1327,1,3,1,1,"Low-quality","Genome-fragment",NA,"HMM-based",0,"No","","","Caudovirales","Caudovirales"
"780","NODE_661_length_1309_cov_6_957792_S005-101",1309,1,4,1,0,"Low-quality","Genome-fragment",9.05,"AAI-based",0,"No","","","Streptococcus satellite phage Javan27","Viruses; unclassified viruses; unclassified bacterial viruses"
"781","NODE_712_length_1281_cov_3_260797_S005-101",1281,1.05,3,3,0,"Low-quality","Genome-fragment",3.11,"AAI-based",0,"No","","","Streptococcus phage Javan414","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"782","NODE_760_length_1247_cov_3_340171_S005-101",1247,1,3,0,0,"Not-determined","Genome-fragment",NA,NA,0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"783","NODE_932_length_1159_cov_4_681146_S005-101",1159,1,4,1,0,"Low-quality","Genome-fragment",2.96,"AAI-based",0,"No","","","Streptococcus phage Javan414","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"784","NODE_1023_length_1115_cov_5_856455_S005-101",1115,1,3,0,0,"Low-quality","Genome-fragment",8.56,"AAI-based",0,"No","","'no viral genes detected'","Streptococcus satellite phage Javan404","Viruses; unclassified viruses; unclassified bacterial viruses"
"785","NODE_1058_length_1099_cov_3_716243_S005-101",1099,1,3,1,0,"Low-quality","Genome-fragment",2.81,"AAI-based",0,"No","","","Streptococcus phage Javan221","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"786","NODE_1085_length_1089_cov_6_058300_S005-101",1089,1,3,0,0,"Low-quality","Genome-fragment",2.61,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"787","NODE_1169_length_1055_cov_3_238241_S005-101",1055,1,3,2,0,"Low-quality","Genome-fragment",2.8,"AAI-based",0,"No","","","Streptococcus phage Javan648","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"788","NODE_1946_length_853_cov_4_592784_S005-101",853,1,5,2,0,"Low-quality","Genome-fragment",2.15,"AAI-based",0,"No","","","Streptococcus phage Javan213","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"789","NODE_1950_length_852_cov_17_331613_S005-101",852,1,2,1,0,"Low-quality","Genome-fragment",2.1,"AAI-based",0,"No","","","Streptococcus phage Javan213","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"790","NODE_1975_length_848_cov_4_324254_S005-101",848,1,2,2,0,"Low-quality","Genome-fragment",2.06,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"791","NODE_2245_length_803_cov_3_865014_S005-101",803,1,2,1,0,"Low-quality","Genome-fragment",2,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"792","NODE_2636_length_750_cov_9_698366_S005-101",750,1,2,0,0,"Low-quality","Genome-fragment",1.82,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"793","NODE_3671_length_653_cov_5_737847_S005-101",653,1,2,2,0,"Low-quality","Genome-fragment",1.71,"AAI-based",0,"No","","","Streptococcus phage Javan288","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"794","NODE_29_length_1846_cov_2_334652_S005-105",1846,1,3,2,0,"Low-quality","Genome-fragment",4.69,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"795","NODE_1_length_46835_cov_20_298858_S005-108",46835,1,57,28,0,"High-quality","High-quality",97.34,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"796","NODE_6_length_16715_cov_20_560765_S005-108",16715,1,38,10,0,"Low-quality","Genome-fragment",41.74,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"797","NODE_9_length_11321_cov_6_210423_S005-108",11321,1,15,5,0,"Low-quality","Genome-fragment",21.18,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"798","NODE_14_length_8623_cov_8_115259_S005-108",8623,1,14,4,0,"Low-quality","Genome-fragment",20.65,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"799","NODE_32_length_5934_cov_6_133174_S005-108",5934,1,8,4,0,"Low-quality","Genome-fragment",13.98,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"800","NODE_33_length_5871_cov_10_769589_S005-108",5871,1,9,1,1,"Low-quality","Genome-fragment",10.91,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"801","NODE_36_length_5777_cov_7_478070_S005-108",5777,1,8,3,0,"Low-quality","Genome-fragment",11.17,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"802","NODE_46_length_5301_cov_6_519717_S005-108",5301,1,10,2,0,"Low-quality","Genome-fragment",10.06,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"803","NODE_52_length_5173_cov_8_690934_S005-108",5173,1,12,1,0,"Low-quality","Genome-fragment",9.82,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"804","NODE_64_length_4683_cov_4_431611_S005-108",4683,1,7,3,0,"Low-quality","Genome-fragment",9.1,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"805","NODE_70_length_4575_cov_4_777457_S005-108",4575,1,5,0,0,"Low-quality","Genome-fragment",11.21,"AAI-based",0,"No","","'no viral genes detected'","CressDNAParvo","CressDNAParvo"
"806","NODE_79_length_4330_cov_4_513990_S005-108",4330,1,6,4,0,"Low-quality","Genome-fragment",10.87,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"807","NODE_81_length_4312_cov_6_263282_S005-108",4312,1,8,4,0,"Low-quality","Genome-fragment",10.33,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"808","NODE_82_length_4289_cov_7_882953_S005-108",4289,1,6,0,1,"Low-quality","Genome-fragment",6.81,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"809","NODE_91_length_3975_cov_3_912263_S005-108",3975,1,5,0,2,"Not-determined","Genome-fragment",NA,NA,0,"No","","'no viral genes detected'","NoAnnotation","NoAnnotation"
"810","NODE_95_length_3871_cov_5_017659_S005-108",3871,1,6,1,1,"Low-quality","Genome-fragment",8.42,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"811","NODE_97_length_3862_cov_5_918890_S005-108",3862,1,5,3,0,"Low-quality","Genome-fragment",10,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"812","NODE_115_length_3537_cov_3_775434_S005-108",3537,1,11,1,0,"Low-quality","Genome-fragment",8.16,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"813","NODE_135_length_3274_cov_2_795433_S005-108",3274,1,7,7,0,"Low-quality","Genome-fragment",8.23,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"814","NODE_184_length_2789_cov_5_114676_S005-108",2789,1,5,3,0,"Low-quality","Genome-fragment",5.73,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"815","NODE_198_length_2695_cov_8_127196_S005-108",2695,1,4,1,0,"Low-quality","Genome-fragment",NA,"HMM-based",0,"No","","","Caudovirales","Caudovirales"
"816","NODE_220_length_2549_cov_4_149272_S005-108",2549,1,4,3,0,"Low-quality","Genome-fragment",4.85,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"817","NODE_255_length_2373_cov_3_040505_S005-108",2373,1,4,2,0,"Low-quality","Genome-fragment",5.5,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"818","NODE_265_length_2353_cov_3_823814_S005-108",2353,1,7,2,0,"Low-quality","Genome-fragment",5.97,"AAI-based",0,"No","","","Streptococcus phage Javan311","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"819","NODE_275_length_2336_cov_2_524126_S005-108",2336,1,3,1,0,"Low-quality","Genome-fragment",6.12,"AAI-based",0,"No","","","Streptococcus phage Javan311","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"820","NODE_362_length_2009_cov_2_910455_S005-108",2009,1,5,0,0,"Low-quality","Genome-fragment",4.65,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"821","NODE_379_length_1962_cov_9_074801_S005-108",1962,1,3,3,0,"Low-quality","Genome-fragment",6.37,"AAI-based",0,"No","","","Lactococcus phage MW18L","Viruses; Caudovirales; Siphoviridae; Skunavirus; unclassified Skunavirus"
"822","NODE_468_length_1724_cov_14_795993_S005-108",1724,1,3,0,1,"Low-quality","Genome-fragment",4.65,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"823","NODE_600_length_1469_cov_2_990661_S005-108",1469,1,4,3,0,"Low-quality","Genome-fragment",3.96,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"824","NODE_623_length_1419_cov_2_439642_S005-108",1419,1,3,0,0,"Low-quality","Genome-fragment",3.57,"AAI-based",0,"No","","'no viral genes detected'","NoAnnotation","NoAnnotation"
"825","NODE_834_length_1138_cov_2_748351_S005-108",1138,1,2,0,0,"Low-quality","Genome-fragment",2.86,"AAI-based",0,"No","","'no viral genes detected'","NoAnnotation","NoAnnotation"
"826","NODE_839_length_1133_cov_2_291667_S005-108",1133,1,3,2,0,"Low-quality","Genome-fragment",2.74,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"827","NODE_949_length_1036_cov_9_705944_S005-108",1036,1,1,1,0,"Low-quality","Genome-fragment",3.36,"AAI-based",0,"No","","","Lactococcus phage MW18L","Viruses; Caudovirales; Siphoviridae; Skunavirus; unclassified Skunavirus"
"828","NODE_1007_length_981_cov_6_826327_S005-108",981,1,2,1,0,"Low-quality","Genome-fragment",3.18,"AAI-based",0,"No","","","Lactococcus phage 88605","Viruses; Caudovirales; Siphoviridae; Skunavirus; unclassified Skunavirus"
"829","NODE_1_length_35615_cov_177_981119_S005-126",35615,1,53,26,1,"Medium-quality","Genome-fragment",83.2,"AAI-based",0,"No","77-bp-DTR","'predicted termini not supported by estimated completeness'","Caudovirales","Caudovirales"
"830","NODE_2_length_16530_cov_61_089710_S005-126",16530,1,23,13,2,"Low-quality","Genome-fragment",46.49,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"831","NODE_4_length_7476_cov_17_763752_S005-126",7476,1,11,7,0,"Low-quality","Genome-fragment",17.3,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"832","NODE_5_length_6418_cov_18_117016_S005-126",6418,1,14,2,0,"Low-quality","Genome-fragment",17.15,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"833","NODE_7_length_4901_cov_42_579187_S005-126",4901,1,10,2,0,"Low-quality","Genome-fragment",13.8,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"834","NODE_8_length_3280_cov_22_760849_S005-126",3280,1,10,0,0,"Low-quality","Genome-fragment",8.79,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"835","NODE_13_length_2838_cov_22_583122_S005-126",2838,1,8,0,0,"Low-quality","Genome-fragment",6.7,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"836","NODE_18_length_2186_cov_2_856330_S005-126",2186,1,3,3,0,"Low-quality","Genome-fragment",4.47,"AAI-based",0,"No","","","Enterobacteria phage Sf101","Viruses; Caudovirales; Podoviridae; Lederbergvirus; unclassified Lederbergvirus"
"837","NODE_21_length_1886_cov_2_542289_S005-126",1886,1,3,3,0,"Low-quality","Genome-fragment",NA,"HMM-based",0,"No","","","NoAnnotation","NoAnnotation"
"838","NODE_9_length_3103_cov_4_981163_S005-12",3103,1,4,3,0,"Low-quality","Genome-fragment",6.96,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"839","NODE_14_length_2452_cov_3_598316_S005-12",2452,1,3,1,0,"Low-quality","Genome-fragment",NA,"HMM-based",0,"No","","","Caudovirales","Caudovirales"
"840","NODE_2_length_28717_cov_65_298115_S005-149",28717,1,36,16,0,"Medium-quality","Genome-fragment",75.08,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"841","NODE_4_length_13217_cov_16_500228_S005-149",13217,1,22,15,2,"Low-quality","Genome-fragment",30.52,"AAI-based",16.31,"Yes","","","Caudovirales","Caudovirales"
"842","NODE_11_length_6271_cov_24_683080_S005-149",6271,1,16,1,0,"Low-quality","Genome-fragment",10.03,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"843","NODE_22_length_4645_cov_17_221760_S005-149",4645,1,5,3,0,"Low-quality","Genome-fragment",11.07,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"844","NODE_25_length_4287_cov_6_769121_S005-149",4287,1,11,1,0,"Low-quality","Genome-fragment",7.35,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"845","NODE_26_length_4258_cov_26_414494_S005-149",4258,1,10,2,0,"Low-quality","Genome-fragment",10.14,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"846","NODE_29_length_3926_cov_5_307872_S005-149",3926,1,4,3,0,"Low-quality","Genome-fragment",13.33,"AAI-based",0,"No","","","NoAnnotation","NoAnnotation"
"847","NODE_36_length_3110_cov_5_830201_S005-149",3110,1,4,0,0,"Low-quality","Genome-fragment",8.65,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"848","NODE_39_length_3036_cov_5_020615_S005-149",3036,1,7,6,0,"Low-quality","Genome-fragment",NA,"HMM-based",0,"No","","","Caudovirales","Caudovirales"
"849","NODE_49_length_2518_cov_13_892257_S005-149",2518,1,8,0,0,"Low-quality","Genome-fragment",6.4,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"850","NODE_69_length_1964_cov_12_367250_S005-149",1964,1,4,1,0,"Low-quality","Genome-fragment",6.4,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"851","NODE_1_length_33444_cov_64_446279_S005-167",33444,1,72,12,2,"Medium-quality","Genome-fragment",53.67,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"852","NODE_5_length_8867_cov_13_899431_S005-167",8867,1,17,3,1,"Low-quality","Genome-fragment",23.71,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"853","NODE_6_length_8563_cov_12_267499_S005-167",8563,1,13,7,0,"Low-quality","Genome-fragment",21.16,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"854","NODE_9_length_7349_cov_17_502338_S005-167",7349,1,10,6,0,"Low-quality","Genome-fragment",17.86,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"855","NODE_12_length_6676_cov_14_091074_S005-167",6676,1,18,3,0,"Low-quality","Genome-fragment",NA,"HMM-based",0,"No","","","Caudovirales","Caudovirales"
"856","NODE_17_length_5992_cov_9_754522_S005-167",5992,1,13,3,0,"Low-quality","Genome-fragment",16.53,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"857","NODE_19_length_5114_cov_17_058964_S005-167",5114,1,11,3,0,"Low-quality","Genome-fragment",12.62,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"858","NODE_25_length_4139_cov_10_982029_S005-167",4139,1,10,4,0,"Low-quality","Genome-fragment",9.97,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"859","NODE_27_length_3986_cov_17_209005_S005-167",3986,1,9,0,2,"Low-quality","Genome-fragment",11,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"860","NODE_28_length_3899_cov_20_169806_S005-167",3899,1,8,2,0,"Low-quality","Genome-fragment",10.76,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"861","NODE_34_length_3414_cov_12_752772_S005-167",3414,1,6,2,0,"Low-quality","Genome-fragment",7.47,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"862","NODE_39_length_3022_cov_15_067233_S005-167",3022,1,8,0,0,"Low-quality","Genome-fragment",8.2,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"863","NODE_40_length_3012_cov_8_320613_S005-167",3012,1,4,4,0,"Low-quality","Genome-fragment",6.49,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"864","NODE_41_length_3010_cov_9_270713_S005-167",3010,1,6,4,0,"Low-quality","Genome-fragment",NA,"HMM-based",0,"No","","","Caudovirales","Caudovirales"
"865","NODE_43_length_2969_cov_5_109959_S005-167",2969,1,6,1,0,"Low-quality","Genome-fragment",7.03,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"866","NODE_45_length_2962_cov_6_570537_S005-167",2962,1,4,2,0,"Low-quality","Genome-fragment",6.37,"AAI-based",0,"No","","","Erwinia phage LS-2018a","Viruses; Caudovirales; Myoviridae; unclassified Myoviridae"
"867","NODE_47_length_2937_cov_12_784615_S005-167",2937,1.3,3,2,0,"Low-quality","Genome-fragment",7.28,"AAI-based",0,"No","","'1.3 genome copies may indicate assembly artifact'","Caudovirales","Caudovirales"
"868","NODE_48_length_2865_cov_10_930057_S005-167",2865,1,3,3,0,"Low-quality","Genome-fragment",7.08,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"869","NODE_63_length_2293_cov_9_942690_S005-167",2293,1,6,1,0,"Low-quality","Genome-fragment",5.2,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"870","NODE_64_length_2285_cov_4_475996_S005-167",2285,1,2,2,0,"Low-quality","Genome-fragment",6.16,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"871","NODE_75_length_2181_cov_5_723384_S005-167",2181,1,5,4,0,"Low-quality","Genome-fragment",4.81,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"872","NODE_91_length_1938_cov_9_344976_S005-167",1938,1,4,1,1,"Low-quality","Genome-fragment",5.42,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"873","NODE_101_length_1849_cov_5_058126_S005-167",1849,1,5,2,0,"Low-quality","Genome-fragment",3.25,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"874","NODE_105_length_1799_cov_4_490708_S005-167",1799,1,4,2,0,"Low-quality","Genome-fragment",5.03,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"875","NODE_113_length_1723_cov_5_122722_S005-167",1723,1,4,1,0,"Low-quality","Genome-fragment",3.78,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"876","NODE_202_length_1245_cov_3_107877_S005-167",1245,1,2,1,0,"Low-quality","Genome-fragment",2.69,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"877","NODE_222_length_1192_cov_3_416143_S005-167",1192,1,2,1,0,"Low-quality","Genome-fragment",2.55,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"878","NODE_299_length_1065_cov_4_763158_S005-167",1065,1,2,1,0,"Low-quality","Genome-fragment",2.63,"AAI-based",0,"No","","","Streptococcus phage Javan170","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"879","NODE_305_length_1055_cov_5_860941_S005-167",1055,1,3,1,0,"Low-quality","Genome-fragment",2.39,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"880","NODE_1_length_17528_cov_28_810326_S005-180",17528,1,26,3,3,"Medium-quality","Genome-fragment",78.46,"AAI-based",21.25,"Yes","","","Caudovirales","Caudovirales"
"881","NODE_89_length_2218_cov_12_942550_S005-180",2218,1,6,2,0,"Low-quality","Genome-fragment",4.58,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"882","NODE_97_length_2170_cov_4_090779_S005-180",2170,1,5,4,0,"Low-quality","Genome-fragment",NA,"HMM-based",0,"No","","","Caudovirales","Caudovirales"
"883","NODE_292_length_1653_cov_7_916244_S005-180",1653,1,4,1,0,"Low-quality","Genome-fragment",3.42,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"884","NODE_805_length_1238_cov_5_299742_S005-180",1238,1,3,0,0,"Low-quality","Genome-fragment",1.6,"AAI-based",0,"No","","'no viral genes detected'","Streptococcus phage IPP61","Viruses; Caudovirales; Siphoviridae; unclassified Siphoviridae"
"885","NODE_809_length_1236_cov_8_905953_S005-180",1236,1,2,0,0,"Not-determined","Genome-fragment",NA,NA,0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"886","NODE_855_length_1212_cov_2_136564_S005-180",1212,1,2,2,0,"Low-quality","Genome-fragment",2.84,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"887","NODE_2679_length_797_cov_4_700000_S005-180",797,1,2,0,0,"Low-quality","Genome-fragment",2.39,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"888","NODE_8_length_3281_cov_4_188202_S005-181",3281,1,3,2,0,"Low-quality","Genome-fragment",7.74,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"889","NODE_14_length_2838_cov_4_056863_S005-181",2838,1,4,1,0,"Low-quality","Genome-fragment",6.21,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"890","NODE_11_length_1205_cov_3_101064_S005-182",1205,1,4,0,1,"Low-quality","Genome-fragment",2.49,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"891","NODE_1_length_44205_cov_44_758181_S005-183",44205,1,83,19,1,"Complete","High-quality",100,"AAI-based",0,"No","41-bp-DTR","","Caudovirales","Caudovirales"
"892","NODE_2_length_39449_cov_111_154958_S005-183",39449,1,61,25,0,"Complete","High-quality",94.54,"AAI-based",0,"No","77-bp-DTR","","Caudovirales","Caudovirales"
"893","NODE_4_length_24780_cov_25_067401_S005-183",24780,1,24,12,0,"Medium-quality","Genome-fragment",55.92,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"894","NODE_8_length_16053_cov_19_536743_S005-183",16053,1,29,3,0,"Low-quality","Genome-fragment",34.1,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"895","NODE_9_length_13753_cov_26_917227_S005-183",13753,1,12,3,0,"Low-quality","Genome-fragment",22.51,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"896","NODE_13_length_8217_cov_24_867936_S005-183",8217,1,8,0,1,"Low-quality","Genome-fragment",10.87,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"897","NODE_14_length_7604_cov_9_772419_S005-183",7604,1,20,0,0,"Low-quality","Genome-fragment",17.83,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"898","NODE_17_length_5344_cov_7_269034_S005-183",5344,1,8,7,0,"Low-quality","Genome-fragment",12.55,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"899","NODE_19_length_5007_cov_9_008519_S005-183",5007,1,8,3,2,"Low-quality","Genome-fragment",4.07,"AAI-based",65.01,"Yes","","","Caudovirales","Caudovirales"
"900","NODE_21_length_4580_cov_13_949145_S005-183",4580,1,11,3,0,"Low-quality","Genome-fragment",10.73,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"901","NODE_24_length_4306_cov_7_596595_S005-183",4306,1,4,4,0,"Low-quality","Genome-fragment",10.26,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"902","NODE_27_length_4028_cov_6_841812_S005-183",4028,1,4,3,0,"Low-quality","Genome-fragment",8.83,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"903","NODE_30_length_3764_cov_7_217792_S005-183",3764,1,7,4,0,"Low-quality","Genome-fragment",7.96,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"904","NODE_34_length_3546_cov_5_521764_S005-183",3546,1,11,0,0,"Low-quality","Genome-fragment",9.04,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"905","NODE_35_length_3507_cov_7_374052_S005-183",3507,1,4,2,0,"Low-quality","Genome-fragment",8.67,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"906","NODE_39_length_3176_cov_6_590190_S005-183",3176,1,5,3,0,"Low-quality","Genome-fragment",7.74,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"907","NODE_45_length_2710_cov_10_291303_S005-183",2710,1,5,0,0,"Low-quality","Genome-fragment",6.41,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"908","NODE_47_length_2699_cov_5_265065_S005-183",2699,1,3,3,0,"Low-quality","Genome-fragment",6.73,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"909","NODE_53_length_2550_cov_9_382531_S005-183",2550,1,6,3,0,"Low-quality","Genome-fragment",5.52,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"910","NODE_56_length_2539_cov_4_999594_S005-183",2539,1,3,3,0,"Low-quality","Genome-fragment",5.19,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"911","NODE_60_length_2398_cov_2_975872_S005-183",2398,1,8,1,0,"Low-quality","Genome-fragment",5.93,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"912","NODE_75_length_2145_cov_5_563346_S005-183",2145,1,5,5,0,"Low-quality","Genome-fragment",NA,"HMM-based",0,"No","","","Caudovirales","Caudovirales"
"913","NODE_114_length_1802_cov_4_493333_S005-183",1802,1,3,0,0,"Low-quality","Genome-fragment",4.46,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"914","NODE_142_length_1632_cov_5_153055_S005-183",1632,1,5,0,0,"Low-quality","Genome-fragment",3.37,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"915","NODE_158_length_1587_cov_1_768874_S005-183",1587,1,5,1,0,"Low-quality","Genome-fragment",3.59,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"916","NODE_162_length_1573_cov_6_275401_S005-183",1573,1,3,3,0,"Low-quality","Genome-fragment",3.29,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"917","NODE_300_length_1244_cov_6_835476_S005-183",1244,1,4,1,0,"Low-quality","Genome-fragment",1.3,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"918","NODE_310_length_1232_cov_2_858874_S005-183",1232,1,4,1,0,"Low-quality","Genome-fragment",2.58,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"919","NODE_344_length_1188_cov_7_199820_S005-183",1188,1,3,2,0,"Low-quality","Genome-fragment",2.38,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"920","NODE_468_length_1066_cov_5_722952_S005-183",1066,1,2,2,0,"Low-quality","Genome-fragment",2.32,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"921","NODE_570_length_987_cov_10_063736_S005-183",987,1,2,0,0,"Not-determined","Genome-fragment",NA,NA,0,"No","","'no viral genes detected'","",""
"922","NODE_13_length_19035_cov_16_149699_S005-199",19035,1,29,2,8,"Low-quality","Genome-fragment",40.72,"AAI-based",0,"No","","'microbial genes > viral genes'","Caudovirales","Caudovirales"
"923","NODE_21_length_14957_cov_183_154704_S005-199",14957,1,19,16,0,"Low-quality","Genome-fragment",43.22,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
"924","NODE_41_length_10666_cov_17_326660_S005-199",10666,1,15,0,2,"Not-determined","Genome-fragment",NA,NA,0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"925","NODE_47_length_9796_cov_16_531845_S005-199",9796,1,20,0,0,"Low-quality","Genome-fragment",18.25,"AAI-based",0,"No","","'no viral genes detected'","Caudovirales","Caudovirales"
"926","NODE_49_length_9474_cov_135_917101_S005-199",9474,1,8,6,0,"Low-quality","Genome-fragment",24.92,"AAI-based",0,"No","","","Caudovirales","Caudovirales"
